z0_1, z0_2, z0_3, z0_4, Zopt_1, Zopt_2, Zopt_3, Zopt_4, Zopt_5, Zopt_6, n,sigma_1, sigma_2, sigma_3
1.4210909738400743,0.10874562918182631,1.6104783059798715,3.13498024721062,2.7145709193425414,2.9512779440522663,1.0774613393382597,2.289459350450507,16.110887614934825,-0.49999999999999994,4125.0,3,2,1
0.9131518914496882,0.8287463621011488,2.668476190679227,1.1266811133433496,0.9335278440461482,1.403431235089607e-5,2.421293405323339,0.8988693567978656,9.016503936438383,-0.4999953737489065,2309.0,1,2,3
1.7429410347549081,2.572596283586892,2.9737623874190424,0.4206689794883276,1.773986700280455,2.448595646029225,2.5548510434561016,0.9489991212894254,9.945067654932465,-0.5000000916222449,2546.0,3,2,1
1.2558211109927402,1.0803159827015363,2.533726242750379,1.8033978387391931,1.7361729476702918,1.6976007901245052,2.5731030909759633,2.6753227767689545,9.039396187216942,-0.4999999929687682,2315.0,3,2,1
1.1263300369846843,0.5352914079686181,2.18492119803691,1.7513053297915533,1.1976636387536796,1.3633068181861146e-5,2.9707974278472653,1.7136514484944985,17.136477143807184,-0.5000000009532642,4387.0,1,3,2
1.195361407374029,3.0735604243657684,0.43748956798901795,0.5984313180632128,1.120233268448596,2.6454349615270774,0.34088268480193823,0.703205139801351,10.325032095744568,-0.49238478696609733,2631.0,2,1,3
2.605455700755656,2.364930185900198,1.2192932263356846,3.0449640821986046,2.61001779947942,2.421137915193335,1.9839878455568942,1.5709600271271098,7.455818665179603,-0.5,1909.0,1,2,3
1.9712731274981026,0.8942033045693304,2.9736825376101006,1.094220888882746,2.711958436897637,1.0871139385035238,1.5692773544994376,1.1072945226254625,14.663350442524793,-0.5000000064727491,3754.0,3,2,1
2.807062614984966,0.8108394907144156,0.12364308581881374,2.2331818995097965,3.133960263916832,2.234291811405921,0.7455106398541805,3.0863730988544473,15.455330559855557,-0.5001611859402638,3958.0,1,2,3
0.8487528260012415,1.9097915654807558,2.4718473256253297,3.0123737884149753,0.8703610718439992,1.6004194135564376,2.1851640765865827,2.1097123279192473,12.790875326971998,-0.49999998043583976,3275.0,2,3,1
2.8111859183866192,0.9864365188674976,1.8403415255265292,0.7903175576816257,3.141592653589793,0.8316006425864512,2.228252070281425,1.1950429105901843,14.901966842857105,-0.4908991354367767,3767.0,3,2,1
2.3056311432252596,1.6877107343113409,1.6984338117608029,1.8047425768299568,2.608980096217566,2.552140213631026,1.8594213893496825,0.21972984319522032,13.465339991348786,-0.5001507879520354,3449.0,3,2,1
